CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346,326,1,77183.6,1,1,5,115
12347,2,7,4310.0,5,5,5,555
12348,75,4,1797.24,2,4,4,244
12349,19,1,1757.55,4,1,4,414
12350,310,1,334.40000000000003,1,1,2,112
12352,36,8,2506.04,3,5,5,355
12353,204,1,89.0,1,1,1,111
12354,232,1,1079.4,1,1,4,114
12355,214,1,459.40000000000003,1,1,2,112
12356,23,3,2811.43,4,3,5,435
12357,33,1,6207.67,4,1,5,415
12358,2,2,1168.06,5,2,4,524
12359,58,4,6372.58,3,4,5,345
12360,52,3,2662.06,3,3,5,335
12361,287,1,189.9,1,1,1,111
12362,3,10,5226.2300000000005,5,5,5,555
12363,110,2,552.0,2,2,3,223
12364,8,4,1313.1,5,4,4,544
12365,291,2,641.38,1,2,3,123
12367,4,1,168.9,5,1,1,511
12370,51,4,3545.69,3,4,5,345
12371,45,2,1887.96,3,2,4,324
12372,72,3,1298.04,3,3,4,334
12373,311,1,364.6,1,1,2,112
12374,25,1,742.9300000000001,4,1,3,413
12375,11,2,457.5,5,2,2,522
12377,315,2,1628.1200000000001,1,2,4,124
12378,130,1,4008.62,2,1,5,215
12379,82,2,852.24,2,2,3,223
12380,22,4,2724.81,4,4,5,445
12381,5,5,1845.31,5,4,4,544
12383,185,5,1850.56,1,4,4,144
12384,29,2,585.27,4,2,3,423
12386,338,2,401.9,1,2,2,122
12388,16,6,2780.6600000000003,4,4,5,445
12390,80,1,549.84,2,1,3,213
12391,22,1,460.89,4,1,2,412
12393,72,4,1582.6000000000001,3,4,4,344
12394,64,2,1272.48,3,2,4,324
12395,19,12,3018.63,4,5,5,455
12397,36,2,2409.9,3,2,5,325
12398,46,1,1635.6599999999999,3,1,4,314
12399,119,4,1108.65,2,4,4,244
12401,303,1,84.3,1,1,1,111
12402,323,1,225.60000000000002,1,1,1,111
12403,50,1,427.7,3,1,2,312
12405,149,1,1710.39,2,1,4,214
12406,22,2,3415.3,4,2,5,425
12407,50,5,1708.12,3,4,4,344
12408,33,5,2888.55,4,4,5,445
12409,79,3,11072.67,2,3,5,235
12410,309,2,693.33,1,2,3,123
12412,75,3,1226.88,2,3,4,234
12413,67,3,758.1,3,3,3,333
12414,217,3,562.4100000000001,1,3,3,133
12415,24,21,124914.53,4,5,5,455
12417,3,9,3649.1,5,5,5,555
12418,113,1,668.58,2,1,3,213
12420,64,1,600.39,3,1,3,313
12421,16,4,807.04,4,4,3,443
12422,96,3,803.5600000000001,2,3,3,233
12423,1,8,1859.31,5,5,4,554
12424,163,2,1760.96,2,2,4,224
12425,78,1,777.2,2,1,3,213
12426,195,1,582.73,1,1,3,113
12427,22,3,825.8000000000001,4,3,3,433
12428,26,9,7956.46,4,5,5,455
12429,9,4,3750.4,5,4,5,545
12430,43,1,256.4,3,1,2,312
12431,36,15,6487.45,3,5,5,355
12432,43,5,5059.32,3,4,5,345
12433,1,7,13375.87,5,5,5,555
12434,85,2,806.14,2,2,3,223
12435,80,2,7829.89,2,2,5,225
12436,100,1,509.01,2,1,3,213
12437,2,18,4951.41,5,5,5,555
12438,14,2,2906.85,4,2,5,425
12441,367,1,173.55,1,1,1,111
12442,3,1,172.06,5,1,1,511
12444,21,5,5005.46,4,4,5,445
12445,22,1,133.4,4,1,1,411
12446,58,1,1002.3100000000001,3,1,4,314
12447,243,1,476.49,1,1,2,112
12448,44,1,449.45,3,1,2,312
12449,22,4,4067.29,4,4,5,445
12450,156,2,197.88,2,2,1,221
12451,11,5,9035.52,5,4,5,545
12452,17,2,430.57000000000005,4,2,2,422
12453,134,1,707.09,2,1,3,213
12454,56,1,3528.34,3,1,5,315
12455,73,6,2466.86,2,4,5,245
12456,44,3,3181.04,3,3,5,335
12457,66,7,2363.23,3,5,5,355
12458,71,2,947.4,3,2,4,324
12461,94,2,826.88,2,2,3,223
12462,19,2,1189.59,4,2,4,424
12463,53,4,1344.78,3,4,4,344
12464,10,8,1212.05,5,5,4,554
12465,17,2,742.19,4,2,3,423
12468,188,2,729.54,1,2,3,123
12471,2,30,19824.05,5,5,5,555
12472,32,7,6572.11,4,5,5,455
12473,29,5,3938.55,4,4,5,445
12474,17,18,7375.79,4,5,5,455
12475,54,1,723.38,3,1,3,313
12476,16,11,6816.42,4,5,5,455
12477,23,6,13219.74,4,4,5,445
12478,4,1,680.99,5,1,3,513
12479,11,1,527.2,5,1,3,513
12480,28,4,3281.63,4,4,5,445
12481,23,10,5596.32,4,5,5,455
12483,17,8,2484.98,4,5,5,455
12484,33,6,4541.72,4,4,5,445
12488,10,3,1298.66,5,3,4,534
12489,336,1,334.93,1,1,2,112
12490,5,10,5417.93,5,5,5,555
12491,39,1,460.40000000000003,3,1,2,312
12492,63,2,263.21000000000004,3,2,2,322
12493,166,2,433.74,2,2,2,222
12494,16,7,1246.1,4,5,4,454
12497,82,1,1043.1,2,1,4,214
12498,21,3,403.70000000000005,4,3,2,432
12500,23,11,4257.82,4,5,5,455
12501,337,1,2169.39,1,1,5,115
12502,96,5,3723.87,2,4,5,245
12504,18,2,482.04999999999995,4,2,2,422
12506,233,1,73.5,1,1,1,111
12507,134,3,1304.81,2,3,4,234
